a_filename,b_filename,c_filename,a_date,b_date,c_date,d_ab,d_bc,d_ac,aba_score_geometry,return_features_count,return_features
2009_11_25__d6449a26fbe8.png,2009_12_10_2__e94160bb38b8.png,2010_01_07__3de50bb92856.png,2009-11-25,2009-12-10,2010-01-07,1.1871449720907856,1.4811827545984069,1.40616943612598,-0.07200557278138375,3,brow_eye_asym; brow_height_asym; nose_axis_bend_3d
2011_02_24_2__d7e36165ddcb.png,2011_03_01__7cb427856761.png,2011_03_22__bc4246c3109c.png,2011-02-24,2011-03-01,2011-03-22,2.5741970487088595,0.9877821925893157,1.8640404199201122,-0.08305079927102454,2,nose_ridge_length_3d; midface_ratio
2000_05_09__f521e8b04028.png,2000_06_14__212639178b9b.png,2000_07_08__af2f680df36f.png,2000-05-09,2000-06-14,2000-07-08,1.4212790694692188,1.2254202920344353,1.4071654501016646,-0.08381576934983759,3,eye_level_asym; nose_projection_3d; brow_eye_left_3d
2009_04_27__f9e5a1392d8e.png,2009_06_03__4db76aa26c0a.png,2009_06_10__6294280d8f6b.png,2009-04-27,2009-06-03,2009-06-10,0.9743703628942509,1.3736705698239244,1.2661337366111893,-0.0921132702521017,1,mouth_height_3d
2009_08_24__f8294b3bf327.png,2009_08_29__91867a6526c5.png,2009_09_19__3227c25726be.png,2009-08-24,2009-08-29,2009-09-19,0.9744744934648364,1.418493346234892,1.3088632113401868,-0.11237929149032255,1,eye_level_asym
2008_07_14__5a2af27b6bc8.png,2008_07_28__649a348723ff.png,2008_10_30__f32c7fd7c3c1.png,2008-07-14,2008-07-28,2008-10-30,0.9434875818189822,0.8579158002052005,1.0209407525353313,-0.12023906152324004,3,eye_anchor_spacing_3d; nose_ridge_length_3d; brow_span_3d
2001_03_23__e0ecdfe4b1e3.png,2001_03_29__a39e57f1bc9a.png,2001_04_14__1e62238ac16a.png,2001-03-23,2001-03-29,2001-04-14,1.2899510768340057,0.8339213552058918,1.205703059451817,-0.14376684343186819,2,mouth_width_3d; brow_eye_asym
2006_10_11__cb83f4b73aca.png,2006_11_10__6a4841acc11b.png,2006_12_21__4a0f42ab7782.png,2006-10-11,2006-11-10,2006-12-21,1.7846071270305877,1.3632024222761936,1.7189369551062847,-0.14503218045289423,4,mouth_height_3d; mouth_width_3d; mouth_nose_offset; eye_level_asym
2012_01_25_2__682dc53e8340.png,2012_03_05__99b28879de92.png,2012_05_08_3__b904d13d5826.png,2012-01-25,2012-03-05,2012-05-08,2.6707340057299067,1.5139601701953633,2.252687768328224,-0.1603406803655889,2,nose_projection_3d; midface_ratio
2003_12_31__74aef83c2fd7.png,2004_01_15__28173705e988.png,2004_04_14_2__94ea1ed0423e.png,2003-12-31,2004-01-15,2004-04-14,1.5264516971978204,1.1929443467043328,1.5447494891234312,-0.18505146717235466,2,brow_eye_asym; brow_eye_right_3d
2009_06_10__6294280d8f6b.png,2009_08_24__f8294b3bf327.png,2009_08_29__91867a6526c5.png,2009-06-10,2009-08-24,2009-08-29,0.9529949039427655,0.9744744934648364,1.170942572747231,-0.20720787404343,2,eye_level_asym; brow_eye_right_3d
2007_08_02__5c6c7977163b.png,2007_08_03_2__1cff200676db.png,2007_09_07__d22877d53827.png,2007-08-02,2007-08-03,2007-09-07,1.1722300201723315,1.6893082684027105,1.6481162392653947,-0.21734709497787374,3,mouth_height_3d; nose_ridge_length_3d; nose_projection_3d
2008_04_28__59ebffc06e1d.png,2008_05_14__8c59f8c2941d.png,2008_06_26__bed71e0ccc74.png,2008-04-28,2008-05-14,2008-06-26,1.0409398307287956,1.1003922297095985,1.3066720796477371,-0.2360060494285401,1,midface_ratio
